Date,New_Patients
27/1/20,1
28/1/20,0
29/1/20,0
30/1/20,0
31/1/20,0
1/2/20,0
2/2/20,0
3/2/20,0
4/2/20,0
5/2/20,0
6/2/20,0
7/2/20,0
8/2/20,0
9/2/20,0
10/2/20,0
11/2/20,0
12/2/20,0
13/2/20,0
14/2/20,0
15/2/20,0
16/2/20,0
17/2/20,0
18/2/20,0
19/2/20,0
20/2/20,0
21/2/20,0
22/2/20,0
23/2/20,0
24/2/20,0
25/2/20,0
26/2/20,0
27/2/20,0
28/2/20,0
29/2/20,0
1/3/20,0
2/3/20,0
3/3/20,0
4/3/20,0
5/3/20,0
6/3/20,0
7/3/20,0
8/3/20,0
9/3/20,0
10/3/20,0
11/3/20,1
12/3/20,2
13/3/20,2
14/3/20,5
15/3/20,8
16/3/20,10
17/3/20,13
18/3/20,11
19/3/20,13
20/3/20,6
21/3/20,6
22/3/20,9
23/3/20,10
24/3/20,5
25/3/20,0
26/3/20,4
27/3/20,0
28/3/20,9